DEBUG 2025-05-08 14:00:20,644 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\integrate\dop.py first seen with mtime 1743333840.486437
DEBUG 2025-05-08 14:00:20,644 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_enc_symbol.py first seen with mtime 1743333937.1275306
DEBUG 2025-05-08 14:00:20,644 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\queue.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,644 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\template\defaultfilters.py first seen with mtime 1743333588.016488
DEBUG 2025-05-08 14:00:20,644 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sqlparse\filters\__init__.py first seen with mtime 1743333580.393795
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\utils\_seq_dataset.cp312-win_amd64.pyd first seen with mtime 1743333962.5603964
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\stats\_binomtest.py first seen with mtime 1743333842.786748
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\db\models\fields\__init__.py first seen with mtime 1743333587.8137844
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\multiprocessing\reduction.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\metrics\_base.py first seen with mtime 1743333961.9347427
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\gzip.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\websockets\__init__.py first seen with mtime 1743334735.1501055
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\utils\safestring.py first seen with mtime 1743333588.1220298
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\mpl_toolkits\mplot3d\__init__.py first seen with mtime 1743334078.126775
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\numpy\linalg\_umath_linalg.cp312-win_amd64.pyd first seen with mtime 1743333834.3931012
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\template\backends\django.py first seen with mtime 1743333588.035721
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\xml\__init__.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,645 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\contrib\admin\templatetags\base.py first seen with mtime 1743333582.5066626
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\optimize\_lsq\__init__.py first seen with mtime 1743333841.7385411
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\integrate\_bvp.py first seen with mtime 1743333840.4965415
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\pyasn1_modules\rfc5208.py first seen with mtime 1743334441.1115546
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\django\contrib\postgres\validators.py first seen with mtime 1743333585.7415917
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\numpy\_array_api_info.py first seen with mtime 1743333834.0180836
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\reportlab\lib\geomutils.py first seen with mtime 1743333937.0989797
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\websockets\imports.py first seen with mtime 1743334735.164594
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\asyncio\staggered.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\Anaconda3\Lib\shlex.py first seen with mtime 1727748346.0
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\numpy\_core\_add_newdocs_scalars.py first seen with mtime 1743333834.8447082
DEBUG 2025-05-08 14:00:20,646 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\pyasn1\compat\__init__.py first seen with mtime 1743334438.2337272
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\google\auth\transport\requests.py first seen with mtime 1743334558.412129
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\numpy\lib\_array_utils_impl.py first seen with mtime 1743333834.2834454
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\reportlab\pdfgen\pathobject.py first seen with mtime 1743333937.1581664
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\sparse\lil.py first seen with mtime 1743333841.9201317
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\sklearn\metrics\_plot\confusion_matrix.py first seen with mtime 1743333962.028602
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\sparse\linalg\_propack\_dpropack.cp312-win_amd64.pyd first seen with mtime 1743333842.184376
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\reportlab\pdfbase\_fontdata_enc_pdfdoc.py first seen with mtime 1743333937.1275306
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\rsa\__init__.py first seen with mtime 1743334439.91029
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\numpy\f2py\common_rules.py first seen with mtime 1743333834.067487
DEBUG 2025-05-08 14:00:20,647 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\reportlab\lib\enums.py first seen with mtime 1743333937.0939882
DEBUG 2025-05-08 14:00:20,649 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\_lib\array_api_compat\common\_linalg.py first seen with mtime 1743333843.1055534
DEBUG 2025-05-08 14:00:20,649 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\_lib\array_api_compat\common\_aliases.py first seen with mtime 1743333843.1027913
DEBUG 2025-05-08 14:00:20,649 autoreload File C:\Users\Ayush Kumar\Downloads\qnu_uploadFiles_frontend\backend\myproject\venv\Lib\site-packages\scipy\optimize\_trlib\__init__.py first seen with mtime 1743333841.7616148
